id_passageiro;sexo;idade;irmaos_e_esposos_abordo;pais_e_filhos_abordo;bilhete;tarifa;classe;poltrona;local_de_embarque
938;masculino;45;0;0;PC 17594;29,7;1;A9;C
1277;feminino;24;1;2;220845;65;2;;S
1186;masculino;36;0;0;345771;9,5;3;;S
1143;masculino;20;0;0;SOTON/O2 3101284;7,925;3;;S
957;feminino;;0;0;F.C.C. 13534;21;2;;S
1002;masculino;41;0;0;237734;15,0458;2;;C
897;masculino;14;0;0;7538;9,225;3;;S
1058;masculino;48;0;0;PC 17591;50,4958;1;B10;C
1289;feminino;48;1;1;13567;79,2;1;B41;C
1128;masculino;64;1;0;110813;75,25;1;D37;C
985;masculino;;0;0;376563;8,05;3;;S
1226;masculino;27;0;0;349229;7,8958;3;;S
1116;feminino;53;0;0;PC 17606;27,4458;1;;C
1038;masculino;;0;0;17463;51,8625;1;E46;S
940;feminino;60;0;0;11813;76,2917;1;D15;C
1307;masculino;38.5;0;0;SOTON/O.Q. 3101262;7,25;3;;S
951;feminino;36;0;0;PC 17608;262,375;1;B61;C
903;masculino;46;0;0;694;26;1;;S
920;masculino;41;0;0;113054;30,5;1;A21;S
1298;masculino;23;1;0;28666;10,5;2;;S
1271;masculino;5;4;2;347077;31,3875;3;;S
1036;masculino;42;0;0;17475;26,55;1;;S
1236;masculino;;1;1;A/5. 851;14,5;3;;S
1123;feminino;21;0;0;113795;26,55;1;;S
1157;masculino;;0;0;349235;7,8958;3;;S
1179;masculino;24;1;0;21228;82,2667;1;B45;S
996;feminino;16;1;1;2625;8,5167;3;;C
1231;masculino;;0;0;2622;7,2292;3;;C
958;feminino;18;0;0;330963;7,8792;3;;Q
1137;masculino;41;1;0;17464;51,8625;1;D21;S
1062;masculino;;0;0;S.O./P.P. 251;7,55;3;;S
931;masculino;;0;0;1601;56,4958;3;;S
1025;masculino;;1;0;2621;6,4375;3;;C
1267;feminino;45;0;0;PC 17608;262,375;1;;C
955;feminino;22;0;0;334914;7,725;3;;Q
1027;masculino;24;0;0;350409;7,8542;3;;S
